DOI
10.1021/acs.inorgchem.3c00683
10.1021/acs.inorgchem.2c00922
10.1021/acs.jpcc.1c06049
10.1021/acs.inorgchem.1c00521
10.1021/acs.inorgchem.7b02184
10.1021/jacs.0c04738
10.1021/acs.inorgchem.2c00313
10.1021/acs.inorgchem.9b01857
10.1021/acs.inorgchem.1c00412
10.1021/acs.inorgchem.2c03042
10.1021/acs.inorgchem.1c03077
10.1021/acs.inorgchem.6b02044
10.1021/acs.inorgchem.2c02433
10.1021/acs.inorgchem.8b01322
10.1021/acs.inorgchem.1c03144
10.1021/acs.cgd.2c00342
10.1021/acs.inorgchem.2c02253
10.1021/acs.jpcc.5b05408
10.1021/acs.jpcc.7b04962
10.1021/acs.cgd.2c00130
10.1021/acs.inorgchem.0c00874
10.1021/acs.inorgchem.1c01052
10.1021/acs.inorgchem.2c03083
10.1021/acs.inorgchem.2c00417
10.1021/ic502664e
10.1021/acs.inorgchem.5b00383
10.1021/acs.jpcc.5b10026
10.1021/acs.inorgchem.3c00515
10.1021/acs.inorgchem.8b00510
10.1021/acs.inorgchem.8b01925
10.1021/acs.inorgchem.8b00717
10.1021/acs.inorgchem.0c03596
10.1021/acs.inorgchem.2c02979
10.1021/acsami.2c11118
10.1021/acs.inorgchem.2c04084
10.1021/acs.inorgchem.2c00970
10.1021/acs.inorgchem.2c03486
10.1021/acs.inorgchem.1c01793
10.1021/acs.inorgchem.1c03446
10.1021/acs.inorgchem.9b03426
10.1021/acs.inorgchem.9b00101
10.1021/acs.inorgchem.8b03154
10.1021/acs.inorgchem.2c02765
10.1021/acs.jpcc.7b07805
10.1021/acs.jpcc.2c07579
10.1021/acsomega.7b00003
10.1021/acs.inorgchem.2c04295
10.1021/acs.inorgchem.2c00924
10.1021/acs.inorgchem.1c00205
10.1021/acs.inorgchem.9b00970
10.1021/acs.inorgchem.1c00331
10.1021/acs.inorgchem.2c03059
10.1021/acs.inorgchem.1c01521
10.1021/acs.inorgchem.6b01556
10.1021/acs.inorgchem.2c02149
10.1021/acs.cgd.2c01191
10.1021/acs.cgd.2c00235
10.1021/acs.cgd.8b01728
10.1021/acs.jpcc.7b01819
10.1021/acs.inorgchem.2c01838
10.1021/acs.inorgchem.1c02764
10.1021/acs.inorgchem.1c03171
10.1021/acs.inorgchem.2c03283
10.1021/acs.inorgchem.7b01866
10.1021/acs.inorgchem.2c02743
10.1021/acsami.1c20557
10.1021/acs.chemmater.0c04440
10.1021/acs.inorgchem.0c03331
10.1021/acs.inorgchem.8b01437
10.1021/acs.inorgchem.8b02113
10.1021/acs.inorgchem.1c03434
10.1021/acs.jpcc.7b11884
10.1021/acs.inorgchem.1c01359
10.1021/acs.inorgchem.1c02008
10.1021/acs.accounts.9b00448
10.1021/acs.inorgchem.0c00547
10.1021/acs.inorgchem.1c02181
10.1021/acs.chemmater.2c00061
10.1021/acs.inorgchem.8b03606
10.1021/acs.jpclett.1c00295
10.1021/acs.inorgchem.9b01235
10.1021/acs.inorgchem.2c02861
10.1021/acs.inorgchem.0c00639
10.1021/acs.inorgchem.9b03419
10.1021/acs.inorgchem.1c03215
10.1021/acs.inorgchem.8b00542
10.1021/acs.inorgchem.6b00517
10.1021/acs.inorgchem.6b02508
10.1021/acs.inorgchem.8b01999
10.1021/acs.inorgchem.2c02833
10.1021/acs.inorgchem.9b03711
10.1021/acs.inorgchem.8b00671
10.1021/acs.inorgchem.1c02980
10.1021/acs.inorgchem.9b02021
10.1021/acs.inorgchem.1c00441
10.1021/acs.inorgchem.6b01729
10.1021/acs.inorgchem.9b00094
10.1021/acs.inorgchem.0c01949
10.1021/acs.inorgchem.3c00740
10.1021/acs.inorgchem.8b00891
10.1021/acs.inorgchem.1c02547
10.1021/acs.inorgchem.2c04499
10.1021/acsanm.1c01621
10.1021/acs.inorgchem.1c01401
10.1021/acs.inorgchem.9b03026
10.1021/acs.inorgchem.8b00557
10.1021/acs.inorgchem.8b00733
10.1021/acs.inorgchem.1c03099
10.1021/acs.inorgchem.8b02044
10.1021/acs.inorgchem.0c00196
10.1021/acs.inorgchem.0c03493
10.1021/acs.inorgchem.8b03495
10.1021/acs.inorgchem.1c03465
10.1021/acs.jpclett.1c01890
10.1021/acs.inorgchem.0c00001
10.1021/acs.inorgchem.9b01572
10.1021/cm504195x
10.1021/acs.cgd.0c01056
10.1021/acsami.1c07442
10.1021/acs.jpcc.8b08212
10.1021/acs.inorgchem.1c03273
10.1021/acs.cgd.0c00018
10.1021/acs.inorgchem.9b00191
10.1021/acs.jpclett.1c01311
10.1021/acs.inorgchem.1c02561
10.1021/acs.inorgchem.1c02178
10.1021/acs.inorgchem.2c00102
10.1021/acs.inorgchem.5b02211
10.1021/acs.inorgchem.2c00623
10.1021/acs.inorgchem.0c03176
10.1021/acs.inorgchem.8b01965
10.1021/acs.inorgchem.6b00100
10.1021/acs.inorgchem.2c02709
10.1021/acs.inorgchem.0c00753
10.1021/acs.inorgchem.1c02041
10.1021/acs.cgd.6b01179
10.1021/acs.inorgchem.1c01181
10.1021/acs.inorgchem.1c03738
10.1021/acs.inorgchem.7b00138
10.1021/acs.inorgchem.1c03113
10.1021/acs.inorgchem.8b03575
10.1021/acs.inorgchem.7b00510
10.1021/acs.inorgchem.2c03743
10.1021/acs.inorgchem.8b01174
10.1021/acs.inorgchem.0c00508
10.1021/acs.accounts.0c00103
10.1021/acs.nanolett.0c03528
10.1021/cen-09511-scicon003
10.1021/acs.inorgchem.0c02909
10.1021/acs.inorgchem.8b00278
10.1021/acs.jpcc.9b08762
10.1021/acs.inorgchem.9b00718
10.1021/acs.inorgchem.5b02961
